date,open,high,close,low,volume,p_change,最近N1个交易日最高价,最近N2个交易日最低价,当天的仓位,net,capital_index,策略每日涨跌幅
2015-06-17,90.11,102.38,102.38,89.5,87479.57,10.0,132.47,89.5,1.0,1.2441748745071455,84.60389146648588,10.0
2015-06-18,100.34,111.0,97.0,93.35,75025.68,-5.25,132.47,89.5,1.0,1.1788556935955203,80.16218716449536,-5.25
2015-06-19,94.9,103.0,98.5,92.77,57044.74,1.55,132.47,89.5,1.0,1.197127956846251,81.40470106554504,1.55
2015-06-23,95.0,103.0,97.1,88.65,60925.02,-1.42,132.47,88.65,1.0,1.180128739859034,80.2487543104143,-1.42
2015-06-24,97.52,100.41,89.8,87.41,79147.38,-7.52,132.47,87.41,1.0,1.0913830586216349,74.21404798627115,-7.52
2015-06-25,92.88,94.0,80.82,80.82,73353.67,-10.0,132.47,80.82,1.0,0.9822447527594714,66.79264318764405,-10.0
2015-06-26,76.78,77.5,72.74,72.74,64072.32,-10.0,132.47,72.74,0.0,0.9822447527594714,66.79264318764405,-0.0
2015-06-29,73.0,75.0,65.47,65.47,59485.72,-9.99,132.47,65.47,0.0,0.9822447527594714,66.79264318764405,-0.0
2015-06-30,58.92,72.02,71.73,58.92,174821.8,9.56,132.47,58.92,0.0,0.9822447527594714,66.79264318764405,0.0
2015-07-01,69.88,76.8,64.56,64.56,133009.45,-10.0,132.47,58.92,0.0,0.9822447527594714,66.79264318764405,-0.0
2015-07-02,61.32,64.0,58.1,58.1,108195.35,-10.01,127.96,58.1,0.0,0.9822447527594714,66.79264318764405,-0.0
2015-07-03,52.29,60.98,52.29,52.29,157538.88,-10.0,124.0,52.29,0.0,0.9822447527594714,66.79264318764405,-0.0
2015-07-06,57.0,57.0,47.06,47.06,163984.11,-10.0,123.0,47.06,0.0,0.9822447527594714,66.79264318764405,-0.0
2015-07-13,51.77,51.77,51.77,51.77,5553.28,10.01,123.0,47.06,0.0,0.9822447527594714,66.79264318764405,0.0
2015-07-14,56.95,56.95,56.95,56.95,2636.5,10.01,123.0,47.06,0.0,0.9822447527594714,66.79264318764405,0.0
2015-07-15,62.65,62.65,51.26,51.26,258005.16,-9.99,123.0,47.06,0.0,0.9822447527594714,66.79264318764405,-0.0
2015-07-16,46.13,53.68,51.32,46.13,174404.8,0.12,122.0,46.13,0.0,0.9822447527594714,66.79264318764405,0.0
2015-07-17,51.0,56.45,56.4,49.5,258634.27,9.9,112.83,46.13,0.0,0.9822447527594714,66.79264318764405,0.0
2015-07-20,59.55,62.04,61.49,58.0,328901.94,9.03,111.0,46.13,0.0,0.9822447527594714,66.79264318764405,0.0
2015-07-21,58.98,63.9,63.6,57.5,286584.03,3.43,111.0,46.13,0.0,0.9822447527594714,66.79264318764405,0.0
2015-07-22,61.39,63.8,61.16,59.3,202954.3,-3.84,111.0,46.13,0.0,0.9822447527594714,66.79264318764405,-0.0
2015-07-23,61.01,64.37,62.39,58.5,212131.23,2.01,103.0,46.13,0.0,0.9822447527594714,66.79264318764405,0.0
2015-07-24,62.79,65.89,62.7,60.33,235046.59,0.5,103.0,46.13,0.0,0.9822447527594714,66.79264318764405,0.0
2015-07-27,63.5,65.93,56.43,56.43,249529.44,-10.0,100.41,46.13,0.0,0.9822447527594714,66.79264318764405,-0.0
