,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
,AAPL,AMZN,BABA,BIDU,FB,GOOGL,AAPL,AMZN,BABA,BIDU,FB,GOOGL,AAPL,AMZN,BABA,BIDU,FB,GOOGL,AAPL,AMZN,BABA,BIDU,FB,GOOGL,AAPL,AMZN,BABA,BIDU,FB,GOOGL,AAPL,AMZN,BABA,BIDU,FB,GOOGL
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-15,119.93856811523438,3338.64990234375,299.4599914550781,130.0399932861328,266.7200012207031,1555.469970703125,120.70999908447266,3338.64990234375,299.4599914550781,130.0399932861328,266.7200012207031,1555.469970703125,121.19999694824219,3355.8798828125,299.8630065917969,134.6999969482422,269.0400085449219,1571.4000244140625,118.1500015258789,3280.0,292.6099853515625,129.67999267578125,263.6700134277344,1541.1300048828125,118.72000122070312,3292.010009765625,293.79998779296875,133.1999969482422,267.6000061035156,1544.5,112559200,5223400,9709900,6413800,15416100,1560500
2020-10-16,118.25936889648438,3272.7099609375,307.30999755859375,130.3699951171875,265.92999267578125,1567.699951171875,119.0199966430664,3272.7099609375,307.30999755859375,130.3699951171875,265.92999267578125,1567.699951171875,121.55000305175781,3399.659912109375,310.0,132.91000366210938,271.3699951171875,1577.7099609375,118.80999755859375,3160.0,302.95001220703125,130.22999572753906,265.29998779296875,1557.6600341796875,121.27999877929688,3363.22998046875,303.989990234375,131.89999389648438,267.3800048828125,1561.8299560546875,115393800,6474400,12338000,2523200,16622700,1709700
2020-10-19,115.23880004882812,3207.2099609375,305.2900085449219,129.25,261.3999938964844,1529.949951171875,115.9800033569336,3207.2099609375,305.2900085449219,129.25,261.3999938964844,1529.949951171875,120.41999816894531,3329.0,313.80999755859375,133.4600067138672,268.54998779296875,1583.9300537109375,115.66000366210938,3192.739990234375,303.4100036621094,128.6999969482422,259.8800048828125,1522.9200439453125,119.95999908447266,3299.610107421875,309.8900146484375,131.5,265.5299987792969,1575.9300537109375,120639300,5223600,14107300,2232800,13587000,1486700
2020-10-20,116.759033203125,3217.010009765625,309.80999755859375,130.0800018310547,267.55999755859375,1551.0799560546875,117.51000213623047,3217.010009765625,309.80999755859375,130.0800018310547,267.55999755859375,1551.0799560546875,118.9800033569336,3266.0,311.79998779296875,131.7899932861328,269.70001220703125,1573.8399658203125,115.62999725341797,3192.010009765625,307.05999755859375,128.49000549316406,262.8800048828125,1520.5,116.19999694824219,3222.280029296875,307.6000061035156,130.00999450683594,263.05999755859375,1523.1099853515625,124423700,4509700,8806100,2175600,18763200,2083500
2020-10-21,116.12312316894531,3184.93994140625,307.9700012207031,134.83999633789062,278.7300109863281,1585.989990234375,116.87000274658203,3184.93994140625,307.9700012207031,134.83999633789062,278.7300109863281,1585.989990234375,118.70999908447266,3233.8798828125,314.0,136.1699981689453,283.04998779296875,1615.1400146484375,116.44999694824219,3160.0,307.70001220703125,132.00999450683594,276.3699951171875,1567.1400146484375,116.66999816894531,3212.5,311.75,132.6300048828125,279.55999755859375,1569.8499755859375,89946000,4592700,11139700,3687000,28998600,3016100
2020-10-22,115.01026916503906,3176.39990234375,306.2799987792969,132.86000061035156,278.1199951171875,1606.6600341796875,115.75,3176.39990234375,306.2799987792969,132.86000061035156,278.1199951171875,1606.6600341796875,118.04000091552734,3198.75,311.8500061035156,135.1300048828125,282.45001220703125,1613.4200439453125,114.58999633789062,3121.93994140625,304.2099914550781,130.47999572753906,275.0400085449219,1577.47998046875,117.44999694824219,3189.8701171875,311.4599914550781,134.50999450683594,279.8699951171875,1585.0,101988000,4212000,8008400,2298000,16720000,1525600
2020-10-23,114.30481719970703,3204.39990234375,309.9200134277344,133.92999267578125,284.7900085449219,1632.97998046875,115.04000091552734,3204.39990234375,309.9200134277344,133.92999267578125,284.7900085449219,1632.97998046875,116.55000305175781,3205.330078125,310.3299865722656,134.14999389648438,285.239990234375,1634.1199951171875,114.27999877929688,3140.0,304.05999755859375,130.3000030517578,276.82000732421875,1611.9100341796875,116.38999938964844,3191.0,307.2699890136719,133.0,278.79998779296875,1615.050048828125,82572600,3466700,6231400,1782300,17535200,1527400
2020-10-26,114.31475067138672,3207.0400390625,306.8699951171875,132.9499969482422,277.1099853515625,1584.2900390625,115.05000305175781,3207.0400390625,306.8699951171875,132.9499969482422,277.1099853515625,1584.2900390625,116.55000305175781,3282.97998046875,315.4599914550781,134.89999389648438,285.2300109863281,1629.5799560546875,112.87999725341797,3153.300048828125,303.20001220703125,131.1300048828125,274.260009765625,1567.780029296875,114.01000213623047,3198.739990234375,309.9200134277344,132.85000610351562,283.1600036621094,1615.0,111850700,5901200,9350100,3637800,21322900,1791300
2020-10-27,115.85484313964844,3286.330078125,317.1400146484375,134.88999938964844,283.2900085449219,1598.8800048828125,116.5999984741211,3286.330078125,317.1400146484375,134.88999938964844,283.2900085449219,1598.8800048828125,117.27999877929688,3291.659912109375,319.32000732421875,135.30999755859375,284.510009765625,1602.0,114.54000091552734,3211.300048828125,305.6099853515625,131.75,276.30999755859375,1576.989990234375,115.48999786376953,3224.93994140625,307.75,132.0,278.760009765625,1588.9300537109375,92276800,4291000,13175900,3598500,16287200,1295100
2020-10-28,110.48934936523438,3162.780029296875,307.94000244140625,130.6999969482422,267.6700134277344,1510.800048828125,111.19999694824219,3162.780029296875,307.94000244140625,130.6999969482422,267.6700134277344,1510.800048828125,115.43000030517578,3264.02001953125,313.5,132.42999267578125,278.7900085449219,1553.81005859375,111.0999984741211,3162.469970703125,306.0,128.02000427246094,267.260009765625,1508.47998046875,115.05000305175781,3249.300048828125,313.5,132.07000732421875,278.7900085449219,1550.010009765625,143937800,5588300,13644500,5821000,23121800,2258700
2020-10-29,114.58302307128906,3211.010009765625,312.55999755859375,131.9600067138672,280.8299865722656,1556.8800048828125,115.31999969482422,3211.010009765625,312.55999755859375,131.9600067138672,280.8299865722656,1556.8800048828125,116.93000030517578,3257.25,315.5799865722656,132.92999267578125,283.6000061035156,1588.739990234375,112.19999694824219,3164.0,308.9100036621094,130.05999755859375,273.7799987792969,1516.550048828125,112.37000274658203,3201.27001953125,309.44000244140625,130.94000244140625,276.54998779296875,1517.02001953125,146129200,6596500,11174500,5312800,32368100,2770300
